################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CO2} CO2 OVPF
# TITLE: PCRN: "CO2 Plaine des Cafres" {RCSPCRN}
# FILENAME: RCSPCRN_all.txt
#
#
# CREATED: 09-Mar-2022 13:20:51 by sysop@pitondescalumets
# COPYRIGHT: 2022, (c) OVPF-IPGP
################################################################################
#
year month day hour minute second CO2_raw_mol CO2_corr_mol CO2_filter7_mol CO2_filter15_mol CO2_filter31_mol CO2_filterSG_1au CO2_filterSG_2au
2013 12 11 00 00 00 0.729350 0.889188 0.901118 0.856588 0.841540 0.670580 0.071340
2013 12 12 00 00 00 0.726984 0.851390 0.878888 0.849260 0.841178 0.671735 0.073075
2013 12 13 00 00 00 0.706366 0.847286 0.861541 0.851513 0.840935 0.672881 0.071778
2013 12 14 00 00 00 0.693095 0.874131 0.825727 0.836064 0.842272 0.674016 0.072965
2013 12 15 00 00 00 0.612127 0.839858 0.809180 0.818159 0.841372 0.675140 0.071687
2013 12 16 00 00 00 0.551467 0.787538 0.784773 0.804863 0.838687 0.676252 0.070504
2013 12 17 00 00 00 0.481919 0.690697 0.776920 0.796290 0.838517 0.677352 0.075102
2013 12 18 00 00 00 0.540994 0.773361 0.744376 0.789205 0.841757 0.678439 0.078279
2013 12 19 00 00 00 0.478051 0.680543 0.732099 0.785824 0.839227 0.679513 0.074202
2013 12 20 00 00 00 0.545500 0.792311 0.733312 0.791640 0.838707 0.680571 0.065396
2013 12 21 00 00 00 0.527372 0.646325 0.746124 0.793620 0.837000 0.681613 0.053924
2013 12 22 00 00 00 0.764042 0.753921 0.754946 0.793065 0.827762 0.682636 0.042530
2013 12 23 00 00 00 0.756449 0.796027 0.777509 0.797477 0.814791 0.683641 0.029726
2013 12 24 00 00 00 0.751408 0.780382 0.798412 0.805929 0.803651 0.684626 0.019933
2013 12 25 00 00 00 0.702951 0.835111 0.831363 0.818548 0.794595 0.685590 0.012357
2013 12 26 00 00 00 0.737231 0.838487 0.847345 0.827412 0.784709 0.686535 0.001309
2013 12 27 00 00 00 0.787334 0.938628 0.863062 0.832445 0.775183 0.687458 -0.011678
2013 12 28 00 00 00 0.660790 0.876988 0.882196 0.831246 0.769169 0.688358 -0.021656
2013 12 29 00 00 00 0.674370 0.865794 0.888606 0.835199 0.762055 0.689235 -0.030845
2013 12 30 00 00 00 0.668856 0.906047 0.898296 0.824383 0.748720 0.690087 -0.041099
2013 12 31 00 00 00 0.657065 0.914316 0.872212 0.812675 0.737914 0.690913 -0.048569
2014 01 01 00 00 00 0.748980 0.879980 0.857547 0.803990 0.733565 0.691711 -0.052029
2014 01 02 00 00 00 0.691298 0.906322 0.834664 0.790198 0.731324 0.692482 -0.057324
2014 01 03 00 00 00 0.598844 0.756034 0.789754 0.776628 0.726757 0.693223 -0.064760
2014 01 04 00 00 00 0.470026 0.774333 0.747767 0.753645 0.721780 0.693934 -0.074075
2014 01 05 00 00 00 0.371568 0.705618 0.714929 0.739509 0.713042 0.694613 -0.085393
2014 01 06 00 00 00 0.369696 0.591674 0.675202 0.723573 0.708106 0.695258 -0.094803
2014 01 07 00 00 00 0.352699 0.620408 0.657902 0.693887 0.700030 0.695869 -0.111162
2014 01 08 00 00 00 0.417597 0.650116 0.632123 0.666591 0.693049 0.696443 -0.124638
2014 01 09 00 00 00 0.435993 0.628230 0.626314 0.651440 0.686291 0.696980 -0.137472
2014 01 10 00 00 00 0.390869 0.634932 0.631324 0.632433 0.677293 0.697476 -0.149388
2014 01 11 00 00 00 0.329675 0.593885 0.608517 0.624150 0.670569 0.697932 -0.161954
2014 01 12 00 00 00 0.422309 0.664952 0.587769 0.607612 0.658433 0.698347 -0.177858
2014 01 13 00 00 00 0.427865 0.626745 0.591266 0.595332 0.644298 0.698720 -0.190103
2014 01 14 00 00 00 0.383276 0.460756 0.589307 0.588774 0.631023 0.699053 -0.203741
2014 01 15 00 00 00 0.390210 0.504879 0.594721 0.580986 0.614349 0.699343 -0.217341
2014 01 16 00 00 00 0.455355 0.652714 0.574909 0.576286 0.601233 0.699591 -0.228258
2014 01 17 00 00 00 0.330333 0.621214 0.559863 0.572462 0.592583 0.699793 -0.240842
2014 01 18 00 00 00 0.324386 0.631788 0.564513 0.567212 0.580896 0.699951 -0.253098
2014 01 19 00 00 00 0.204488 0.526266 0.564328 0.569623 0.575417 0.700063 -0.262812
2014 01 20 00 00 00 0.211010 0.521426 0.553884 0.562787 0.568288 0.700130 -0.268167
2014 01 21 00 00 00 0.253130 0.493302 0.546693 0.550256 0.563395 0.700152 -0.269407
2014 01 22 00 00 00 0.275353 0.503586 0.535893 0.549825 0.560061 0.700129 -0.270341
2014 01 23 00 00 00 0.358049 0.579609 0.550719 0.542108 0.556847 0.700062 -0.272741
2014 01 24 00 00 00 0.373626 0.570871 0.556573 0.532442 0.555068 0.699951 -0.274983
2014 01 25 00 00 00 0.354345 0.556189 0.548785 0.531817 0.551068 0.699795 -0.277750
2014 01 26 00 00 00 0.369140 0.630047 0.541742 0.525967 0.548598 0.699596 -0.277997
2014 01 27 00 00 00 0.316423 0.562406 0.514531 0.529960 0.548883 0.699353 -0.273459
2014 01 28 00 00 00 0.303933 0.438784 0.505511 0.532089 0.545569 0.699068 -0.272990
2014 01 29 00 00 00 0.274859 0.454289 0.513459 0.536130 0.543070 0.698739 -0.273612
2014 01 30 00 00 00 0.270826 0.389133 0.501172 0.535112 0.548889 0.698370 -0.268799
2014 01 31 00 00 00 0.342370 0.507726 0.504567 0.531190 0.553449 0.697958 -0.259911
2014 02 01 00 00 00 0.382700 0.611828 0.520934 0.532796 0.556232 0.697506 -0.253235
2014 02 02 00 00 00 0.335107 0.544038 0.535167 0.529334 0.564092 0.697014 -0.242965
2014 02 03 00 00 00 0.321300 0.586170 0.549335 0.524554 0.570205 0.696482 -0.237102
2014 02 04 00 00 00 0.327452 0.553353 0.551202 0.527242 0.575517 0.695912 -0.231031
2014 02 05 00 00 00 0.356321 0.553921 0.548792 0.535471 0.578215 0.695295 -0.227610
2014 02 06 00 00 00 0.363679 0.488312 0.543108 0.541803 0.577674 0.694633 -0.226453
2014 02 07 00 00 00 0.300903 0.520789 0.539133 0.558604 0.577193 0.693927 -0.224677
2014 02 08 00 00 00 0.370374 0.594958 0.546188 0.567837 0.575959 0.693175 -0.222680
2014 02 09 00 00 00 0.372041 0.504252 0.547372 0.576316 0.574335 0.692381 -0.220850
2014 02 10 00 00 00 0.404531 0.558347 0.556081 0.597704 0.577490 0.691543 -0.216270
2014 02 11 00 00 00 0.491096 0.602735 0.573275 0.613379 0.578449 0.690664 -0.211969
