################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS PdF GAMIT/GLOBK
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SNEG_all.txt
#
#
# CREATED: 27-Feb-2019 08:18:50 by sysop@pitondescalumets
# COPYRIGHT: 2019, IPGP
################################################################################
#
year month day hour minute second SNEG-BORG_(cm) SNEG-DERG_(cm) SNEG-DSRG_(cm)
2018 05 30 11 59 00 158732.528790 35994.081284 128094.352697
2018 05 31 11 59 00 158732.380243 35994.081637 128093.876141
2018 06 01 11 59 00 158732.367407 35994.097428 128093.895159
2018 06 02 11 59 00 158732.354880 35994.161213 128093.771119
2018 06 03 11 59 00 158732.287428 35994.286816 128093.884580
2018 06 04 11 59 00 158732.291752 35994.224531 128093.736624
2018 06 05 11 59 00 158732.389649 35994.236339 128093.534472
2018 06 06 11 59 00 158732.057155 35994.284123 128093.466969
2018 06 07 11 59 00 158732.321463 35994.122091 128093.407866
2018 06 08 11 59 00 158732.240126 35994.130498 128093.432094
2018 06 09 11 59 00 158732.250768 35994.228613 128093.452702
2018 06 10 11 59 00 158732.519998 35994.248040 128093.581899
2018 06 11 11 59 00 158732.309955 35994.156195 128093.379700
2018 06 12 11 59 00 158732.165897 35994.181481 128093.337079
2018 06 13 11 59 00 158732.304215 35994.317218 128093.527109
2018 06 14 11 59 00 158732.184662 35994.173131 128093.322662
2018 06 15 11 59 00 158732.212928 35994.190342 128093.299490
2018 06 16 11 59 00 158732.231015 35994.141771 128093.291563
2018 06 17 11 59 00 158732.132209 35994.080846 128093.275950
2018 06 18 11 59 00 158732.131561 35994.115211 128093.274667
2018 06 19 11 59 00 158732.160332 35994.047936 128093.181979
2018 06 20 11 59 00 158732.171666 35994.122961 128093.251234
2018 06 21 11 59 00 158732.132734 35994.102515 128093.208874
2018 06 22 11 59 00 158732.149639 35994.160943 128093.250453
2018 06 23 11 59 00 158732.082732 35994.118416 128093.283904
2018 06 24 11 59 00 158732.076536 35994.175001 128093.273339
2018 06 25 11 59 00 158731.882212 35994.193249 128093.192626
2018 06 26 11 59 00 158732.155797 35994.171649 128093.251853
2018 06 27 11 59 00 158732.196163 35994.139542 128093.250870
2018 06 28 11 59 00 158732.285034 35994.203680 128093.448101
2018 06 29 11 59 00 158732.318712 35994.144710 128093.328514
2018 06 30 11 59 00 158732.433910 35994.258070 128093.513014
2018 07 01 11 59 00 158732.641383 35994.378448 128093.729209
2018 07 02 11 59 00 158732.552158 35994.420552 128093.774652
2018 07 03 11 59 00 158732.803463 35994.502511 128093.961671
2018 07 04 11 59 00 158732.748038 35994.478705 128093.938663
