################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. PRAG
# FILENAME: BASELINES_PRAG_all.txt
#
#
# CREATED: 22-Apr-2024 02:01:50 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS PRAG-GITG_(cm)
2017 09 23 11 59 00 818626.090342
2017 09 24 11 59 00 818626.157426
2017 09 25 11 59 00 818626.051252
2017 09 26 11 59 00 818626.160183
2017 09 27 11 59 00 818626.178306
2017 09 28 11 59 00 818626.185124
2017 09 29 11 59 00 818626.246513
2017 09 30 11 59 00 818626.405189
2017 10 01 11 59 00 818626.221963
2017 10 02 11 59 00 818626.143471
2017 10 03 11 59 00 818626.083996
2017 10 04 11 59 00 818626.532520
2017 10 05 11 59 00 818626.141593
2017 10 06 11 59 00 818626.000541
2017 10 07 11 59 00 818626.068207
2017 10 08 11 59 00 818626.153986
2017 10 09 11 59 00 818626.211396
2017 10 10 11 59 00 818626.236312
2017 10 11 11 59 00 818626.099139
2017 10 13 11 59 00 818626.110898
2017 10 14 11 59 00 818626.107549
2017 10 15 11 59 00 818626.157444
2017 10 16 11 59 00 818626.164055
2017 10 17 11 59 00 818626.296254
2017 10 21 11 59 00 818626.158524
2017 10 22 11 59 00 818626.127004
2017 10 23 11 59 00 818626.070968
2017 10 24 11 59 00 818626.159319
2017 10 25 11 59 00 818625.980839
2017 10 26 11 59 00 818626.328911
2017 10 27 11 59 00 818626.242191
2017 10 28 11 59 00 818626.233018
2017 10 29 11 59 00 818626.219861
2017 10 30 11 59 00 818626.110292
2017 10 31 11 59 00 818626.757301
2017 11 01 11 59 00 818626.255982
2017 11 02 11 59 00 818626.135180
2017 11 03 11 59 00 818626.090147
2017 11 04 11 59 00 818626.192265
2017 11 05 11 59 00 818626.069664
2017 11 06 11 59 00 818626.184646
2017 11 07 11 59 00 818626.182140
2017 11 08 11 59 00 818626.205728
2017 11 09 11 59 00 818626.128492
2017 11 10 11 59 00 818626.280965
2017 11 11 11 59 00 818626.196099
2017 11 12 11 59 00 818626.172824
2017 11 13 11 59 00 818626.057989
2017 11 14 11 59 00 818625.988542
2017 11 15 11 59 00 818627.313958
2017 11 16 11 59 00 818626.224204
2017 11 17 11 59 00 818626.323722
2017 11 21 11 59 00 818626.131545
2017 11 23 11 59 00 818626.417022
2017 11 24 11 59 00 818626.140275
2017 11 25 11 59 00 818626.069257
2017 11 26 11 59 00 818626.088363
2017 11 27 11 59 00 818626.202550
2017 11 29 11 59 00 818626.329323
2017 11 30 11 59 00 818626.368863
2017 11 30 11 59 00 818626.368863
2017 12 04 11 59 00 818626.211695
2017 12 05 11 59 00 818626.452045
2017 12 06 11 59 00 818626.189341
2017 12 07 11 59 00 818626.355092
2017 12 08 11 59 00 818626.324485
2017 12 09 11 59 00 818626.255728
2017 12 10 11 59 00 818626.138749
2017 12 11 11 59 00 818626.275733
2017 12 12 11 59 00 818626.354075
2017 12 13 11 59 00 818626.221444
2017 12 14 11 59 00 818626.136152
2017 12 15 11 59 00 818626.272851
2017 12 16 11 59 00 818626.196831
2017 12 17 11 59 00 818626.198838
2017 12 21 11 59 00 818626.262071
2017 12 22 11 59 00 818626.336725
2017 12 23 11 59 00 818626.228644
2017 12 24 11 59 00 818626.413836
2017 12 25 11 59 00 818626.297262
2017 12 26 11 59 00 818626.188417
2017 12 27 11 59 00 818625.879115
2017 12 28 11 59 00 818626.242522
2017 12 29 11 59 00 818626.047205
2017 12 30 11 59 00 818626.387899
2017 12 31 11 59 00 818626.311604
2018 01 02 11 59 00 818626.590681
2018 01 03 11 59 00 818626.444197
2018 01 04 11 59 00 818626.511302
2018 01 05 11 59 00 818626.537720
2018 01 06 11 59 00 818626.667587
2018 01 07 11 59 00 818626.934397
2018 01 09 11 59 00 818625.842471
2018 01 10 11 59 00 818626.586649
2018 01 11 11 59 00 818626.919564
2018 01 13 11 59 00 818626.928270
2018 01 14 11 59 00 818626.434162
2018 01 15 11 59 00 818626.660540
2018 01 16 11 59 00 818626.656706
2018 01 17 11 59 00 818626.325614
2018 01 22 11 59 00 818626.765021
2018 01 23 11 59 00 818626.732566
2018 01 24 11 59 00 818626.795580
2018 01 25 11 59 00 818626.512915
2018 01 26 11 59 00 818626.721601
2018 01 27 11 59 00 818626.555519
2018 01 28 11 59 00 818626.651893
2018 01 29 11 59 00 818626.595739
2018 01 30 11 59 00 818626.552745
2018 01 31 11 59 00 818626.402199
2018 02 04 11 59 00 818626.636178
2018 02 05 11 59 00 818626.582286
2018 02 06 11 59 00 818626.807882
2018 02 07 11 59 00 818626.759266
2018 02 08 11 59 00 818626.486769
