################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. FOAG
# FILENAME: BASELINES_FOAG_all.txt
#
#
# CREATED: 11-Jan-2022 09:20:47 by sysop@pitondescalumets
# COPYRIGHT: 2022, (c) OVPF-IPGP
################################################################################
#
year month day hour minute second FOAG-ENOG_(cm) FOAG-FJAG_(cm)
2019 08 31 11 59 00 325862.027713 399629.589878
2019 09 01 11 59 00 325862.058165 399629.740221
2019 09 02 11 59 00 325862.078609 399629.796228
2019 09 03 11 59 00 325862.016515 399629.870792
2019 09 04 11 59 00 325862.059936 399629.850728
2019 09 05 11 59 00 325862.187133 399629.920911
2019 09 06 11 59 00 325862.272202 399630.024303
2019 09 07 11 59 00 325862.089791 399629.789170
2019 09 08 11 59 00 325862.227792 399630.161163
2019 09 09 11 59 00 325862.169957 399629.821185
2019 09 10 11 59 00 325862.258451 399629.868104
2019 09 11 11 59 00 325862.016129 399629.834165
2019 09 12 11 59 00 325862.113260 399629.984489
2019 09 13 11 59 00 325861.957920 399629.696162
2019 09 14 11 59 00 325862.109400 399629.814811
2019 09 15 11 59 00 325862.029473 399629.838497
2019 09 16 11 59 00 325861.969135 399629.767307
2019 09 17 11 59 00 325861.927497 399629.514265
2019 09 18 11 59 00 325861.828276 399630.033654
2019 09 19 11 59 00 325861.979128 399629.789551
2019 09 21 11 59 00 325861.613097 399629.792082
2019 09 22 11 59 00 325861.480839 399629.870747
2019 09 23 11 59 00 325861.758976 399629.831812
2019 09 24 11 59 00 325861.956174 399629.703180
2019 09 25 11 59 00 325861.433405 399629.449928
2019 09 26 11 59 00 325861.686034 399629.689863
2019 09 27 11 59 00 325861.831819 399629.687883
2019 09 28 11 59 00 325861.821003 399629.725800
2019 09 29 11 59 00 325861.703688 399629.724940
2019 09 30 11 59 00 325861.796750 399629.770052
2019 10 01 11 59 00 325861.666993 399629.674717
2019 10 02 11 59 00 325861.701750 399629.757797
2019 10 03 11 59 00 325861.839991 399629.734602
2019 10 04 11 59 00 325861.685485 399629.613852
2019 10 05 11 59 00 325861.702416 399629.678350
2019 10 06 11 59 00 325861.627513 399629.615190
2019 10 07 11 59 00 325861.543883 399629.676076
2019 10 08 11 59 00 325861.881709 399629.636400
2019 10 09 11 59 00 325861.783614 399629.589340
2019 10 10 11 59 00 325862.176445 399629.629275
2019 10 11 11 59 00 325861.957284 399629.613961
2019 10 12 11 59 00 325862.040242 399629.785162
2019 10 13 11 59 00 325862.142046 399629.970105
2019 10 14 11 59 00 325862.275196 399630.249063
2019 10 15 11 59 00 325862.357866 399630.380202
2019 10 16 11 59 00 325862.503984 399630.816575
2019 10 17 11 59 00 325862.718598 399630.770386
2019 10 18 11 59 00 325862.773228 399631.139550
2019 10 19 11 59 00 325862.940535 399631.351687
2019 10 21 11 59 00 325862.492623 399631.094696
2019 10 22 11 59 00 325863.821277 399632.160179
2019 10 23 11 59 00 325863.481741 399632.354066
2019 10 24 11 59 00 325863.745852 399632.396173
2019 10 25 11 59 00 325862.242728 399630.249191
2019 10 26 11 59 00 325861.754519 399629.108202
2019 10 27 11 59 00 325861.634854 399628.787678
2019 10 28 11 59 00 325861.968932 399629.240548
2019 10 29 11 59 00 325862.209389 399629.540812
2019 10 30 11 59 00 325862.482421 399629.500880
2019 10 31 11 59 00 325862.085464 399629.232775
2019 11 01 11 59 00 325862.298621 399629.625565
2019 11 02 11 59 00 325862.453131 399629.994998
2019 11 03 11 59 00 325862.714066 399630.165144
2019 11 04 11 59 00 325862.985560 399630.156514
2019 11 05 11 59 00 325862.769114 399630.628168
2019 11 06 11 59 00 325862.977902 399630.720225
2019 11 07 11 59 00 325863.169113 399630.982977
2019 11 08 11 59 00 325863.283427 399631.134279
2019 11 09 11 59 00 325863.423741 399631.207002
2019 11 10 11 59 00 325863.675652 399631.481508
2019 11 11 11 59 00 325863.707708 399631.609164
2019 11 12 11 59 00 325863.642629 399631.646311
2019 11 13 11 59 00 325863.790081 399631.827775
2019 11 14 11 59 00 325864.081686 399631.760525
2019 11 15 11 59 00 325864.029535 399631.732960
2019 11 16 11 59 00 325864.344059 399631.785019
2019 11 17 11 59 00 325863.764612 399631.628501
2019 11 18 11 59 00 325864.418074 399632.158495
2019 11 19 11 59 00 325864.023062 399631.680959
2019 11 21 11 59 00 325864.176462 399631.580915
2019 11 22 11 59 00 325863.924705 399631.736389
2019 11 23 11 59 00 325863.912947 399631.548619
2019 11 24 11 59 00 325863.790879 399631.569003
2019 11 25 11 59 00 325863.942979 399631.585795
2019 11 26 11 59 00 325864.198203 399631.655729
2019 11 27 11 59 00 325864.116158 399631.580078
2019 11 28 11 59 00 325864.085828 399631.719447
2019 11 29 11 59 00 325863.706459 399631.518629
2019 11 30 11 59 00 325863.881541 399631.519088
2019 12 04 11 59 00 325863.640235 399631.351515
2019 12 05 11 59 00 325863.529376 399631.551107
2019 12 06 11 59 00 325863.753201 399631.619337
2019 12 07 11 59 00 325863.979172 399631.832502
2019 12 08 11 59 00 325864.020542 399631.700566
2019 12 09 11 59 00 325864.025928 399631.295380
2019 12 10 11 59 00 325863.946563 399631.547761
2019 12 12 11 59 00 325863.777270 399630.912233
2019 12 13 11 59 00 325863.903677 399631.686215
2019 12 14 11 59 00 325864.034045 399631.093986
2019 12 15 11 59 00 325863.904818 399631.279191
2019 12 16 11 59 00 325863.719346 399631.078708
2019 12 17 11 59 00 325863.871258 399631.110366
2019 12 18 11 59 00 325863.817839 399631.358302
2019 12 19 11 59 00 325863.685477 399631.029928
2019 12 21 11 59 00 325863.749889 399631.410689
2019 12 22 11 59 00 325863.946277 399631.419788
2019 12 23 11 59 00 325863.543235 399631.478673
2019 12 24 11 59 00 325863.346761 399631.586235
2019 12 25 11 59 00 325863.439011 399631.881861
2019 12 26 11 59 00 325863.497032 399632.134621
2019 12 27 11 59 00 325864.308320 399632.737962
2019 12 28 11 59 00 325863.941515 399631.971851
2019 12 29 11 59 00 325864.506197 399632.405019
2019 12 30 11 59 00 325864.771360 399632.763407
2019 12 31 11 59 00 325865.213580 399633.197562
2020 01 01 11 59 00 325864.684098 399632.751160
2020 01 02 11 59 00 325865.104979 399632.795558
2020 01 03 11 59 00 325864.801946 399632.727221
2020 01 04 11 59 00 325865.041319 399632.917461
2020 01 05 11 59 00 325865.214128 399633.047881
2020 01 06 11 59 00 325865.697615 399634.078904
2020 01 07 11 59 00 325865.960519 399633.810513
2020 01 08 11 59 00 325865.454017 399633.401351
2020 01 09 11 59 00 325865.277663 399633.567902
2020 01 10 11 59 00 325865.284858 399633.655423
2020 01 11 11 59 00 325865.434177 399633.977470
2020 01 12 11 59 00 325865.524203 399633.881282
2020 01 13 11 59 00 325865.092527 399633.806880
2020 01 14 11 59 00 325865.559682 399633.418943
2020 01 15 11 59 00 325865.489462 399633.950520
2020 01 16 11 59 00 325864.704054 399634.071446
2020 01 17 11 59 00 325865.762551 399633.824386
2020 01 18 11 59 00 325865.822913 399634.003256
2020 01 19 11 59 00 325865.503458 399633.916884
2020 01 21 11 59 00 325865.970646 399634.152423
2020 01 22 11 59 00 325866.226736 399633.941709
2020 01 23 11 59 00 325865.893586 399634.047043
2020 01 24 11 59 00 325866.250829 399634.321208
2020 01 25 11 59 00 325866.948292 399635.116864
2020 01 26 11 59 00 325865.952135 399633.752927
2020 01 27 11 59 00 325865.851361 399634.177436
2020 01 28 11 59 00 325865.854203 399634.318208
2020 01 29 11 59 00 325865.952656 399634.140534
2020 01 30 11 59 00 325865.662443 399634.302187
2020 01 31 11 59 00 325865.619010 399634.177023
2020 02 04 11 59 00 325865.922082 399634.378526
2020 02 05 11 59 00 325865.969524 399634.099583
2020 02 06 11 59 00 325865.991859 399634.272159
2020 02 07 11 59 00 325866.075667 399633.991319
2020 02 08 11 59 00 325865.959964 399634.363281
2020 02 09 11 59 00 325865.930107 399634.207390
2020 02 10 11 59 00 325866.680150 399638.297595
2020 02 11 11 59 00 325865.900528 399639.662567
2020 02 12 11 59 00 325864.711228 399639.170907
2020 02 13 11 59 00 325864.916037 399638.671920
2020 02 14 11 59 00 325864.572733 399638.665363
2020 02 15 11 59 00 325865.067387 399638.432519
2020 02 16 11 59 00 325864.759195 399638.239859
2020 02 17 11 59 00 325864.878513 399638.670254
2020 02 18 11 59 00 325865.279156 399638.770165
2020 02 19 11 59 00 325865.174441 399638.844460
