################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS PdF GAMIT/GLOBK
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SFR0,SNEG_all.txt
#
#
# CREATED: 21-Mar-2020 08:42:13 by sysop@pitondescalumets
# COPYRIGHT: 2020, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS SNEG-BORG_(cm) SNEG-DERG_(cm) SNEG-DSRG_(cm)
2004 08 08 11 59 00 158576.603833 NaN 128009.494388
2004 08 09 11 59 00 158576.875750 NaN 128009.748134
2004 08 10 11 59 00 158577.097332 NaN 128010.047001
2004 08 11 11 59 00 158577.251963 NaN 128010.311229
2004 08 12 11 59 00 158577.655361 NaN 128010.794105
2004 08 13 11 59 00 158577.529852 NaN 128033.152124
2004 08 20 11 59 00 158576.174619 NaN 128031.832062
2004 08 21 11 59 00 158575.403566 NaN 128031.456477
2004 08 22 11 59 00 158575.780523 NaN 128031.813548
2004 08 23 11 59 00 158576.286217 NaN 128031.943753
2004 08 24 11 59 00 158576.427520 NaN 128032.240083
2004 08 25 11 59 00 158576.309410 NaN 128032.129715
2004 08 26 11 59 00 158576.220002 NaN 128031.966965
2004 08 27 11 59 00 158576.420425 NaN 128031.821988
2004 08 28 11 59 00 158575.921887 NaN 128031.657035
2004 08 29 11 59 00 158575.584168 NaN 128031.336065
2004 08 30 11 59 00 158574.834694 NaN 128030.611871
2004 08 31 11 59 00 158574.400844 NaN 128030.133288
2004 09 01 11 59 00 158574.020916 NaN 128029.531288
2004 09 02 11 59 00 158573.692011 NaN 128029.145336
2004 09 03 11 59 00 158573.461492 NaN 128029.218899
2004 09 04 11 59 00 158573.659600 NaN 128029.421827
2004 09 05 11 59 00 158573.561393 NaN 128029.496797
2004 09 06 11 59 00 158573.744752 NaN 128029.566821
2004 09 07 11 59 00 158573.327608 NaN 128029.004203
2004 09 08 11 59 00 158573.071153 NaN 128028.694091
2004 09 09 11 59 00 158573.184493 NaN 128028.601256
2004 09 10 11 59 00 158573.378989 NaN 128028.800101
2004 09 11 11 59 00 158573.442071 NaN 128029.058145
2004 09 12 11 59 00 158572.292767 NaN 128028.331815
2004 09 13 11 59 00 158573.343849 NaN 128029.312956
2004 09 20 11 59 00 158574.200984 NaN 128029.822478
2004 09 21 11 59 00 158573.068486 NaN 128029.425360
2004 09 22 11 59 00 158573.201951 NaN 128029.708242
2004 09 23 11 59 00 158572.474288 NaN 128029.491054
2004 09 24 11 59 00 158573.540830 NaN 128029.659321
2004 09 25 11 59 00 158573.320698 NaN 128029.375212
2004 09 26 11 59 00 158573.444954 NaN 128029.424060
2004 09 27 11 59 00 158573.932163 NaN 128029.561487
2004 09 28 11 59 00 158574.155362 NaN 128029.595514
2004 09 29 11 59 00 158573.465213 NaN 128029.322757
2004 09 30 11 59 00 158574.307278 NaN 128029.692695
2004 10 08 11 59 00 158574.087658 NaN 128029.620866
2004 10 09 11 59 00 158573.579028 NaN 128029.332701
2004 10 10 11 59 00 158573.983259 NaN 128029.358919
2004 10 11 11 59 00 158573.904774 NaN 128029.408597
2004 10 12 11 59 00 158573.835131 NaN 128029.359622
2004 10 13 11 59 00 158573.741678 NaN 128029.400649
2004 10 19 11 59 00 158573.975520 NaN 128029.648780
2004 10 20 11 59 00 158574.025458 NaN 128029.667980
2004 10 21 11 59 00 158573.772415 NaN 128029.330819
2004 10 22 11 59 00 158574.321943 NaN 128029.752991
2004 10 23 11 59 00 158573.771091 NaN 128029.495487
2004 10 24 11 59 00 158573.984487 NaN 128029.461576
2004 10 25 11 59 00 158574.025661 NaN 128029.486614
2004 10 26 11 59 00 158574.117108 NaN 128029.781320
2004 10 27 11 59 00 158574.087812 NaN 128029.552635
2004 10 28 11 59 00 158573.392605 NaN 128029.755254
2004 10 29 11 59 00 158573.932774 NaN 128029.655917
2004 10 30 11 59 00 158573.608940 NaN 128029.594250
2004 10 31 11 59 00 158573.930665 NaN 128029.752285
2004 11 01 11 59 00 158574.241160 NaN 128029.728429
2004 11 02 11 59 00 158573.535750 NaN 128029.681016
2004 11 03 11 59 00 158573.664741 NaN 128029.668906
2004 11 04 11 59 00 158573.946069 NaN 128029.757092
2004 11 05 11 59 00 158574.163008 NaN 128029.870499
2004 11 06 11 59 00 158573.785455 NaN 128029.844026
2004 11 07 11 59 00 158573.912701 NaN 128030.040557
2004 11 08 11 59 00 158573.711185 NaN 128029.978208
2004 11 09 11 59 00 158573.811244 NaN 128030.007432
2004 11 10 11 59 00 158574.289695 NaN 128029.777116
2004 11 11 11 59 00 158574.271478 NaN 128029.741439
2004 11 12 11 59 00 158573.932547 NaN 128029.769582
2004 11 13 11 59 00 158573.863462 NaN 128029.949343
2004 11 19 11 59 00 158574.172627 NaN 128029.899023
2004 11 20 11 59 00 158573.914197 NaN 128029.683910
2004 11 21 11 59 00 158573.692112 NaN 128029.520310
2004 11 22 11 59 00 158573.873745 NaN 128029.550455
2004 11 23 11 59 00 158573.960127 NaN 128029.521510
2004 11 24 11 59 00 158573.862364 NaN 128029.849705
2004 11 25 11 59 00 158573.877463 NaN 128029.907331
2004 11 26 11 59 00 158573.788536 NaN 128029.644077
2004 11 27 11 59 00 158574.005367 NaN 128029.843111
2004 11 28 11 59 00 158574.332090 NaN 128030.162368
2004 11 29 11 59 00 158574.218422 NaN 128030.437348
2004 11 30 11 59 00 158574.324947 NaN 128030.303502
2004 12 01 11 59 00 158574.441593 NaN 128030.523133
2004 12 02 11 59 00 158574.568968 NaN 128030.570429
2004 12 03 11 59 00 158574.250628 NaN 128030.976723
2004 12 04 11 59 00 158574.266733 NaN 128031.045220
2004 12 05 11 59 00 158574.667482 NaN 128030.744865
2004 12 06 11 59 00 158574.983033 NaN 128030.780454
2004 12 07 11 59 00 158575.016886 NaN 128030.946773
2004 12 08 11 59 00 158575.125849 NaN 128031.007155
2004 12 09 11 59 00 158575.229614 NaN 128030.951333
2004 12 10 11 59 00 158575.453454 NaN 128031.249118
2004 12 11 11 59 00 158575.558090 NaN 128031.149532
2004 12 12 11 59 00 158575.777316 NaN 128031.452821
2004 12 13 11 59 00 158575.702385 NaN 128031.480127
2004 12 19 11 59 00 158576.104438 NaN 128032.394752
2004 12 20 11 59 00 158576.175692 NaN 128032.218577
2004 12 21 11 59 00 158575.969059 NaN 128032.117871
2004 12 22 11 59 00 158576.182705 NaN 128032.128611
2004 12 23 11 59 00 158576.189095 NaN 128032.279487
2004 12 24 11 59 00 158576.293015 NaN 128032.155943
2004 12 25 11 59 00 158576.179532 NaN 128032.328482
2004 12 26 11 59 00 158575.754291 NaN 128032.294625
2004 12 27 11 59 00 158576.532811 NaN 128032.618614
2004 12 28 11 59 00 158576.251912 NaN 128032.202033
2004 12 29 11 59 00 158576.169277 NaN 128032.178267
2004 12 30 11 59 00 158576.236034 NaN 128032.524589
2004 12 31 11 59 00 158576.258233 NaN 128032.998199
2005 01 10 11 59 00 158576.261868 NaN 128032.196504
2005 01 11 11 59 00 158576.030778 NaN 128031.961476
2005 01 12 11 59 00 158576.047246 NaN 128031.787001
2005 01 13 11 59 00 158576.305797 NaN 128032.531010
2005 01 19 11 59 00 158576.598011 NaN 128032.614671
2005 01 20 11 59 00 158576.488535 NaN 128032.977397
2005 01 21 11 59 00 158576.753098 NaN 128032.353324
2005 01 22 11 59 00 158577.067205 NaN 128032.897788
2005 01 23 11 59 00 158577.205192 NaN 128033.073483
2005 01 24 11 59 00 158577.035952 NaN 128032.900253
2005 01 25 11 59 00 158576.890954 NaN 128032.957845
2005 01 26 11 59 00 158576.914480 NaN 128032.858771
2005 01 27 11 59 00 158577.029323 NaN 128032.881339
2005 01 28 11 59 00 158576.543188 NaN 128033.085189
2005 01 29 11 59 00 158577.144032 NaN 128033.085981
2005 01 30 11 59 00 158576.895143 NaN 128033.075692
2005 01 31 11 59 00 158576.892146 NaN 128032.981181
2005 02 01 11 59 00 158576.839560 NaN 128032.979711
2005 02 02 11 59 00 158577.101523 NaN 128033.275659
2005 02 03 11 59 00 158577.188507 NaN 128033.217317
2005 02 04 11 59 00 158576.655416 NaN 128033.189325
2005 02 05 11 59 00 158577.179768 NaN 128033.402275
2005 02 06 11 59 00 158577.385075 NaN 128033.579816
2005 02 07 11 59 00 158577.636219 NaN 128033.740089
2005 02 08 11 59 00 158577.549886 NaN 128033.512256
2005 02 09 11 59 00 158577.815688 NaN 128033.894532
2005 02 10 11 59 00 158577.837224 NaN 128033.955848
2005 02 11 11 59 00 158577.988291 NaN 128034.182053
2005 02 12 11 59 00 158577.969213 NaN 128034.161954
2005 02 13 11 59 00 158578.172211 NaN 128034.296267
2005 02 19 11 59 00 158570.320273 NaN 128035.977624
2005 02 20 11 59 00 158570.264241 NaN 128036.141028
2005 02 21 11 59 00 158570.463458 NaN 128036.152007
2005 02 22 11 59 00 158570.458152 NaN 128036.287566
2005 02 23 11 59 00 158570.407616 NaN 128035.989185
2005 02 24 11 59 00 158570.301754 NaN 128035.839507
2005 02 25 11 59 00 158569.234919 NaN 128034.742041
2005 02 26 11 59 00 158567.796238 NaN 128033.356501
2005 02 27 11 59 00 158567.633484 NaN 128032.816422
2005 02 28 11 59 00 158567.563000 NaN 128032.934290
2005 03 01 11 59 00 158567.688252 NaN 128032.845783
2005 03 02 11 59 00 158567.626913 NaN 128033.211728
2005 03 03 11 59 00 158568.122341 NaN 128033.427408
2005 03 04 11 59 00 158567.992140 NaN 128033.612952
2005 03 05 11 59 00 158568.632125 NaN 128033.661383
2005 03 06 11 59 00 158568.008488 NaN 128033.433722
2005 03 07 11 59 00 158567.933152 NaN 128034.021477
2005 03 08 11 59 00 158569.571570 NaN 128034.047746
2005 03 09 11 59 00 158568.448063 NaN 128033.708154
2005 03 10 11 59 00 158568.814232 NaN 128033.891799
2005 03 11 11 59 00 158568.861583 NaN 128033.967633
2005 03 12 11 59 00 158568.813361 NaN 128033.975541
2005 03 13 11 59 00 158568.841228 NaN 128033.991697
2005 03 19 11 59 00 158568.848682 NaN 128034.421311
2005 03 20 11 59 00 158568.609206 NaN 128034.498415
2005 03 21 11 59 00 158568.504979 NaN 128034.618391
2005 03 22 11 59 00 158568.676198 NaN 128034.083896
2005 03 23 11 59 00 158568.338791 NaN 128033.777208
2005 03 24 11 59 00 158568.819419 NaN 128034.241781
2005 03 25 11 59 00 158569.190287 NaN 128034.403977
2005 03 26 11 59 00 158569.448041 NaN 128034.182174
2005 03 27 11 59 00 158569.066751 NaN 128033.799356
2005 03 28 11 59 00 158569.399568 NaN 128034.195080
2005 03 29 11 59 00 158569.106315 NaN 128033.954771
2005 03 30 11 59 00 158568.681837 NaN 128033.824690
2005 03 31 11 59 00 158568.654877 NaN 128033.786581
2005 04 01 11 59 00 158568.752262 NaN 128033.809737
2005 04 02 11 59 00 158568.823223 NaN 128033.859852
2005 04 03 11 59 00 158568.891907 NaN 128034.044649
2005 04 04 11 59 00 158568.687406 NaN 128034.166355
2005 04 05 11 59 00 158568.259291 NaN 128033.420201
2005 04 06 11 59 00 158568.757270 NaN 128033.783613
