################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS PdF GAMIT/GLOBK
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. FJAG
# FILENAME: BASELINES_FJAG_all.txt
#
#
# CREATED: 10-Apr-2020 08:42:40 by sysop@pitondescalumets
# COPYRIGHT: 2020, (c) OVPF-IPGP
################################################################################
#
year month day hour minute second FJAG-FERG_(cm) FJAG-FOAG_(cm)
2009 01 07 11 59 00 142038.662404 NaN
2009 01 08 11 59 00 142039.104456 NaN
2009 01 09 11 59 00 142039.098229 NaN
2009 01 10 11 59 00 142039.091006 NaN
2009 01 11 11 59 00 142039.000828 NaN
2009 01 12 11 59 00 142038.588874 NaN
2009 01 13 11 59 00 142038.935323 NaN
2009 01 19 11 59 00 142038.144386 NaN
2009 01 20 11 59 00 142038.874527 NaN
2009 01 21 11 59 00 142038.860692 NaN
2009 01 22 11 59 00 142038.262998 NaN
2009 01 23 11 59 00 142038.367720 NaN
2009 01 24 11 59 00 142039.000787 NaN
2009 01 25 11 59 00 142038.622884 NaN
2009 01 26 11 59 00 142038.749328 NaN
2009 01 27 11 59 00 142038.620904 NaN
2009 01 28 11 59 00 142038.659778 NaN
2009 01 29 11 59 00 142038.570337 NaN
2009 01 30 11 59 00 142038.059393 NaN
2009 01 31 11 59 00 142038.518603 NaN
2009 02 01 11 59 00 142038.736849 NaN
2009 02 02 11 59 00 142038.415200 NaN
2009 02 03 11 59 00 142038.596303 NaN
2009 02 04 11 59 00 142039.186470 NaN
2009 02 05 11 59 00 142038.646887 NaN
2009 02 06 11 59 00 142038.549550 NaN
2009 02 07 11 59 00 142038.514353 NaN
2009 02 08 11 59 00 142037.913836 NaN
2009 02 09 11 59 00 142038.578368 NaN
2009 02 10 11 59 00 142038.579977 NaN
2009 02 11 11 59 00 142038.653162 NaN
2009 02 12 11 59 00 142038.524829 NaN
2009 02 13 11 59 00 142038.698499 NaN
2009 02 20 11 59 00 142038.706741 NaN
2009 02 21 11 59 00 142038.420380 NaN
2009 02 22 11 59 00 142039.018623 NaN
2009 02 23 11 59 00 142038.741722 NaN
2009 02 24 11 59 00 142038.411621 NaN
2009 02 25 11 59 00 142038.729891 NaN
2009 02 26 11 59 00 142038.665676 NaN
2009 02 27 11 59 00 142038.716909 NaN
2009 02 28 11 59 00 142038.795649 NaN
2009 03 01 11 59 00 142038.287002 NaN
2009 03 02 11 59 00 142039.086913 NaN
2009 03 03 11 59 00 142039.356396 NaN
2009 03 04 11 59 00 142038.612838 NaN
2009 03 05 11 59 00 142038.797268 NaN
2009 03 06 11 59 00 142038.696162 NaN
2009 03 07 11 59 00 142038.635607 NaN
2009 03 08 11 59 00 142038.347904 NaN
2009 03 09 11 59 00 142038.648758 NaN
2009 03 10 11 59 00 142038.573706 NaN
2009 03 11 11 59 00 142038.465536 NaN
2009 03 12 11 59 00 142038.738178 NaN
2009 03 13 11 59 00 142038.172404 NaN
2009 03 20 11 59 00 142038.520812 NaN
2009 03 21 11 59 00 142038.472790 NaN
2009 03 22 11 59 00 142038.615023 NaN
2009 03 23 11 59 00 142038.387264 NaN
2009 03 24 11 59 00 142038.507315 NaN
2009 03 25 11 59 00 142038.400924 NaN
2009 03 26 11 59 00 142038.269186 NaN
2009 03 27 11 59 00 142038.322402 NaN
2009 03 28 11 59 00 142038.386314 NaN
2009 03 29 11 59 00 142038.449144 NaN
2009 03 30 11 59 00 142038.420292 NaN
2009 03 31 11 59 00 142038.641696 NaN
2009 04 01 11 59 00 142038.403337 NaN
2009 04 02 11 59 00 142038.676046 NaN
2009 04 03 11 59 00 142038.573369 NaN
2009 04 04 11 59 00 142038.572133 NaN
2009 04 05 11 59 00 142038.878032 NaN
2009 04 06 11 59 00 142039.231833 NaN
2009 04 07 11 59 00 142038.055165 NaN
2009 04 08 11 59 00 142038.312545 NaN
2009 04 08 11 59 00 142038.312545 NaN
2009 04 09 11 59 00 142038.648804 NaN
2009 04 10 11 59 00 142038.324900 NaN
2009 04 11 11 59 00 142038.760475 NaN
2009 04 12 11 59 00 142037.987694 NaN
2009 04 13 11 59 00 142038.476507 NaN
2009 04 19 11 59 00 142038.576893 NaN
2009 04 20 11 59 00 142038.633056 NaN
2009 04 21 11 59 00 142038.471192 NaN
2009 04 22 11 59 00 142038.733055 NaN
2009 04 23 11 59 00 142038.342211 NaN
2009 04 24 11 59 00 142038.088802 NaN
2009 04 25 11 59 00 142039.599859 NaN
2009 04 26 11 59 00 142038.735135 NaN
2009 04 27 11 59 00 142038.659749 NaN
2009 04 28 11 59 00 142038.796622 NaN
2009 04 29 11 59 00 142038.524829 NaN
2009 04 30 11 59 00 142038.184841 NaN
2009 05 01 11 59 00 142038.651464 NaN
2009 05 02 11 59 00 142038.637854 NaN
2009 05 03 11 59 00 142038.367011 NaN
2009 05 04 11 59 00 142038.605997 NaN
2009 05 05 11 59 00 142038.421524 NaN
2009 05 06 11 59 00 142038.776653 NaN
2009 05 07 11 59 00 142038.659779 NaN
2009 05 08 11 59 00 142038.353526 NaN
2009 05 09 11 59 00 142038.564173 NaN
2009 05 10 11 59 00 142038.719477 NaN
2009 05 11 11 59 00 142038.449236 NaN
2009 05 12 11 59 00 142038.039099 NaN
2009 05 13 11 59 00 142038.873688 NaN
2009 05 19 11 59 00 142039.210321 NaN
2009 05 20 11 59 00 142038.526833 NaN
2009 05 21 11 59 00 142039.021693 NaN
2009 05 22 11 59 00 142039.118958 NaN
2009 05 23 11 59 00 142039.345534 NaN
2009 05 24 11 59 00 142039.599038 NaN
2009 05 25 11 59 00 142039.201919 NaN
2009 05 26 11 59 00 142039.172904 NaN
2009 05 27 11 59 00 142039.109419 NaN
2009 05 28 11 59 00 142038.989328 NaN
2009 05 29 11 59 00 142038.861205 NaN
2009 05 30 11 59 00 142039.003307 NaN
2009 05 31 11 59 00 142039.040789 NaN
2009 06 01 11 59 00 142039.174537 NaN
2009 06 02 11 59 00 142039.063026 NaN
2009 06 03 11 59 00 142038.956646 NaN
2009 06 04 11 59 00 142038.882614 NaN
2009 06 05 11 59 00 142038.918945 NaN
2009 06 06 11 59 00 142039.023424 NaN
2009 06 07 11 59 00 142039.003261 NaN
2009 06 08 11 59 00 142039.208014 NaN
2009 06 09 11 59 00 142038.862644 NaN
2009 06 10 11 59 00 142039.223014 NaN
2009 06 11 11 59 00 142038.925327 NaN
2009 06 12 11 59 00 142039.020465 NaN
2009 06 13 11 59 00 142038.956377 NaN
2009 06 19 11 59 00 142038.845270 NaN
2009 06 20 11 59 00 142039.008058 NaN
2009 06 21 11 59 00 142039.070049 NaN
2009 06 22 11 59 00 142038.968328 NaN
2009 06 23 11 59 00 142039.088925 NaN
2009 06 24 11 59 00 142039.144619 NaN
2009 06 25 11 59 00 142039.055065 NaN
2009 06 27 11 59 00 142038.950159 NaN
2009 06 28 11 59 00 142039.117047 NaN
2009 06 29 11 59 00 142038.828810 NaN
2009 06 30 11 59 00 142038.852823 NaN
2009 07 02 11 59 00 142039.110326 NaN
2009 07 03 11 59 00 142038.956725 NaN
2009 07 04 11 59 00 142038.840904 NaN
2009 07 05 11 59 00 142038.905945 NaN
2009 07 06 11 59 00 142038.870936 NaN
2009 07 07 11 59 00 142039.119329 NaN
2009 07 08 11 59 00 142038.535169 NaN
2009 07 09 11 59 00 142038.973627 NaN
2009 07 10 11 59 00 142039.154192 NaN
2009 07 11 11 59 00 142038.975694 NaN
2009 07 12 11 59 00 142038.199418 NaN
2009 07 13 11 59 00 142039.072463 NaN
2009 07 19 11 59 00 142038.844521 NaN
2009 07 20 11 59 00 142038.924112 NaN
2009 07 21 11 59 00 142038.966352 NaN
2009 07 22 11 59 00 142039.135894 NaN
2009 07 23 11 59 00 142039.070880 NaN
2009 07 24 11 59 00 142038.964259 NaN
2009 07 25 11 59 00 142039.012114 NaN
2009 07 26 11 59 00 142038.928985 NaN
2009 07 27 11 59 00 142038.899488 NaN
2009 07 28 11 59 00 142039.047390 NaN
