################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.GIPSYX} GNSS GIPSYX PdF OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. BOMG
# FILENAME: BASELINES_BOMG_all.txt
#
#
# CREATED: 19-Jan-2022 08:52:40 by sysop@pitondescalumets
# COPYRIGHT: 2022, OVPF-IPGP
################################################################################
#
year month day hour minute second BOMG-BORG_(cm) BOMG-DERG_(cm) BOMG-DSRG_(cm)
2020 04 06 23 55 00 78403.311980 118979.508806 125321.501787
2020 04 07 23 55 00 78403.307679 118979.737934 125321.941633
2020 04 08 23 55 00 78403.389128 118979.681302 125321.644655
2020 04 09 23 55 00 78403.260883 118979.761651 125321.486167
2020 04 10 23 55 00 78403.404190 118980.157553 125321.918924
2020 04 11 23 55 00 78403.243286 118980.494965 125321.846355
2020 04 12 23 55 00 78403.433303 118980.418195 125322.100296
2020 04 13 23 55 00 78403.445225 118980.414171 125321.846863
2020 04 14 23 55 00 78403.509864 118980.849262 125322.199479
2020 04 15 23 55 00 78403.606416 118981.127433 125322.309786
2020 04 16 23 55 00 78403.633578 118981.163257 125322.248758
2020 04 17 23 55 00 78403.833749 118981.455017 125322.552846
2020 04 18 23 55 00 78404.028082 118981.680857 125322.766707
2020 04 19 23 55 00 78403.790399 118981.601482 125322.371256
2020 04 20 23 55 00 78403.915267 118981.629627 125322.534216
2020 04 21 23 55 00 78403.916087 118981.898671 125322.651016
2020 04 22 23 55 00 78403.874864 118981.870598 125322.676223
2020 04 23 23 55 00 78403.984356 118981.740563 125322.654372
2020 04 24 23 55 00 78403.774635 118981.829396 125322.561784
2020 04 25 23 55 00 78404.014066 118981.992589 125322.873838
2020 04 26 23 55 00 78403.997115 118982.171874 125322.867961
2020 04 27 23 55 00 78404.287302 118982.382337 125323.034905
2020 04 28 23 55 00 78403.937369 118982.231067 125322.783465
2020 04 29 23 55 00 78403.997196 118982.047694 125322.697041
2020 04 30 23 55 00 78404.295506 118982.039489 125322.967596
2020 05 01 23 55 00 78404.105902 118982.009884 125322.868420
2020 05 02 23 55 00 78404.047271 118982.020505 125322.773697
2020 05 03 23 55 00 78404.050008 118982.140405 125322.890214
2020 05 04 23 55 00 78403.887330 118981.996465 125322.692264
2020 05 05 23 55 00 78403.952628 118981.912995 125322.615276
2020 05 06 23 55 00 78404.082289 118982.101938 125322.872600
2020 05 07 23 55 00 78403.843435 118982.107443 125322.682689
2020 05 08 23 55 00 78403.812142 118982.155116 125322.753019
2020 05 09 23 55 00 78403.840821 118982.088342 125322.588214
2020 05 10 23 55 00 78403.882852 118982.117456 125322.695794
2020 05 11 23 55 00 78403.768200 118982.007355 125322.522542
2020 05 12 23 55 00 78403.818048 118982.008178 125322.586376
2020 05 13 23 55 00 78403.802790 118982.022281 125322.533396
2020 05 14 23 55 00 78403.839005 118982.091537 125322.683784
2020 05 15 23 55 00 78403.893940 118982.091703 125322.556844
2020 05 16 23 55 00 78403.847340 118982.126093 125322.503824
2020 05 17 23 55 00 78404.059084 118982.035325 125322.800792
2020 05 18 23 55 00 78403.779982 118982.047543 125322.491667
2020 05 19 23 55 00 78403.748015 118981.947618 125322.440498
2020 05 20 23 55 00 78403.820911 118981.997512 125322.535459
2020 05 21 23 55 00 78403.941410 118981.900536 125322.545790
2020 05 22 23 55 00 78403.848153 118981.660376 125322.328643
2020 05 23 23 55 00 78403.738408 118981.826458 125322.431433
2020 05 24 23 55 00 78403.781708 118981.945603 125322.431204
2020 05 25 23 55 00 78403.815874 118981.777216 125322.315344
2020 05 26 23 55 00 78403.676729 118981.824130 125322.343102
2020 05 27 23 55 00 78403.773928 118981.811087 125322.327112
2020 05 28 23 55 00 78403.830244 118981.697488 125322.345517
2020 05 29 23 55 00 78403.735429 118981.810094 125322.394952
2020 05 30 23 55 00 78403.687983 118981.743830 125322.205798
2020 05 31 23 55 00 78403.778627 118981.886245 125322.400002
2020 06 01 23 55 00 78403.807024 118981.877820 125322.348943
2020 06 02 23 55 00 78403.768228 118981.652341 125322.233187
2020 06 03 23 55 00 78403.800165 118981.806244 125322.362372
2020 06 04 23 55 00 78403.592918 118981.690788 125322.242926
2020 06 05 23 55 00 78403.821978 118981.843149 125322.423591
2020 06 06 23 55 00 78403.746388 118981.917422 125322.254109
2020 06 07 23 55 00 78403.926560 118981.977989 125322.538239
2020 06 08 23 55 00 78403.793962 118981.885413 125322.323096
2020 06 09 23 55 00 78403.801810 118981.738614 125322.313321
2020 06 10 23 55 00 78403.853702 118981.926475 125322.594807
2020 06 11 23 55 00 78403.716777 118981.945033 125322.354927
2020 06 12 23 55 00 78403.820272 118981.794829 125322.324242
2020 06 13 23 55 00 78403.815499 118981.641592 125322.258114
2020 06 14 23 55 00 78403.790378 118981.803037 125322.305556
2020 06 15 23 55 00 78403.653772 118981.851986 125322.305610
2020 06 16 23 55 00 78403.725358 118981.939657 125322.343850
2020 06 17 23 55 00 78403.912630 118982.164006 125322.542011
2020 06 18 23 55 00 78403.917113 118982.329438 125322.688011
2020 06 19 23 55 00 78403.896924 118982.640582 125322.967431
2020 06 20 23 55 00 78403.865246 118982.779400 125323.011308
2020 06 21 23 55 00 78404.041020 118983.035999 125323.292248
2020 06 22 23 55 00 78403.951849 118983.125328 125323.238703
2020 06 23 23 55 00 78404.128367 118983.183825 125323.474742
2020 06 24 23 55 00 78404.260893 118983.694403 125323.753063
2020 06 25 23 55 00 78404.425789 118983.839755 125324.045077
2020 06 26 23 55 00 78404.041830 118983.782019 125323.851554
2020 06 27 23 55 00 78404.318786 118984.000009 125324.146075
2020 06 28 23 55 00 78404.583904 118984.108519 125324.373240
2020 06 29 23 55 00 78404.438595 118984.306313 125324.357730
2020 06 30 23 55 00 78404.467167 118984.359302 125324.490323
2020 07 01 23 55 00 78404.615853 118984.494946 125324.666023
2020 07 02 23 55 00 78404.463026 118984.436026 125324.460021
2020 07 03 23 55 00 78404.681394 118984.908483 125324.902027
2020 07 04 23 55 00 78404.797201 118985.101073 125325.106724
2020 07 05 23 55 00 78404.695701 118985.213497 125325.122725
2020 07 06 23 55 00 78404.783933 118985.110138 125325.132507
2020 07 07 23 55 00 78404.935458 118985.083287 125325.136062
2020 07 08 23 55 00 78404.835144 118985.218031 125325.185601
2020 07 09 23 55 00 78404.951598 118985.359829 125325.481399
2020 07 10 23 55 00 78404.909264 118985.336707 125325.417541
2020 07 11 23 55 00 78404.989192 118985.365939 125325.421949
2020 07 12 23 55 00 78404.908298 118985.406913 125325.457952
2020 07 13 23 55 00 78404.989597 118985.289881 125325.302078
2020 07 14 23 55 00 78405.017567 118985.438795 125325.478626
2020 07 15 23 55 00 78405.067583 118985.419793 125325.468736
2020 07 16 23 55 00 78404.884245 118985.476945 125325.358471
2020 07 17 23 55 00 78404.786602 118985.350950 125325.323907
2020 07 18 23 55 00 78404.795679 118985.463641 125325.274640
2020 07 19 23 55 00 78404.780579 118985.400610 125325.341175
2020 07 20 23 55 00 78404.879981 118985.458176 125325.346967
2020 07 21 23 55 00 78404.895835 118985.400752 125325.299804
2020 07 22 23 55 00 78404.887593 118985.495063 125325.347927
2020 07 23 23 55 00 78404.903154 118985.617236 125325.431776
2020 07 24 23 55 00 78404.895272 118985.518189 125325.403242
2020 07 25 23 55 00 78404.900747 118985.502704 125325.368262
2020 07 26 23 55 00 78405.015731 118985.350513 125325.445907
2020 07 27 23 55 00 78404.782339 118985.407851 125325.303351
2020 07 28 23 55 00 78404.845157 118985.341249 125325.360304
