################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.GIPSYX} GNSS GIPSYX PdF OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. SNEG
# FILENAME: BASELINES_SNEG_all.txt
#
#
# CREATED: 01-Feb-2024 13:08:01 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS SNEG-BORG_(cm)_gipsyx SNEG-DERG_(cm)_gipsyx SNEG-DSRG_(cm)_gipsyx
2006 10 04 23 55 00 NaN NaN NaN
2006 10 05 23 55 00 NaN NaN NaN
2006 10 06 23 55 00 NaN NaN NaN
2006 10 07 23 55 00 NaN NaN NaN
2006 10 08 23 55 00 NaN NaN NaN
2006 10 09 23 55 00 NaN NaN NaN
2006 10 10 23 55 00 NaN NaN NaN
2006 10 11 23 55 00 NaN NaN NaN
2006 10 12 23 55 00 NaN NaN NaN
2006 10 13 23 55 00 NaN NaN NaN
2006 10 14 23 55 00 NaN NaN NaN
2006 10 15 23 55 00 NaN NaN NaN
2006 10 16 23 55 00 NaN NaN NaN
2006 10 17 23 55 00 NaN NaN NaN
2006 10 18 23 55 00 NaN NaN NaN
2006 10 19 23 55 00 NaN NaN NaN
2006 10 20 23 55 00 NaN NaN NaN
2006 10 21 23 55 00 NaN NaN NaN
2006 10 22 23 55 00 NaN NaN NaN
2006 10 23 23 55 00 NaN NaN NaN
2006 10 24 23 55 00 NaN NaN NaN
2006 10 25 23 55 00 NaN NaN NaN
2006 10 26 23 55 00 NaN NaN NaN
2006 10 28 23 55 00 NaN NaN NaN
2006 11 05 23 55 00 NaN NaN NaN
2006 11 06 23 55 00 NaN NaN NaN
2006 11 07 23 55 00 NaN NaN NaN
2006 11 08 23 55 00 NaN NaN NaN
2006 11 09 23 55 00 NaN NaN NaN
2006 11 10 23 55 00 NaN NaN NaN
2006 11 11 23 55 00 NaN NaN NaN
2006 11 12 23 55 00 NaN NaN NaN
2006 11 13 23 55 00 NaN NaN NaN
2006 11 14 23 55 00 NaN NaN NaN
2006 11 15 23 55 00 NaN NaN NaN
2006 11 16 23 55 00 NaN NaN NaN
2006 11 17 23 55 00 NaN NaN NaN
2006 11 18 23 55 00 NaN NaN NaN
2006 11 19 23 55 00 NaN NaN NaN
2006 11 20 23 55 00 NaN NaN NaN
2006 11 21 23 55 00 NaN NaN NaN
2006 11 22 23 55 00 NaN NaN NaN
2006 11 23 23 55 00 NaN NaN NaN
2006 11 24 23 55 00 NaN NaN NaN
2006 11 25 23 55 00 NaN NaN NaN
2006 11 26 23 55 00 NaN NaN NaN
2006 11 27 23 55 00 NaN NaN NaN
2006 11 28 23 55 00 NaN NaN NaN
2006 11 29 23 55 00 NaN NaN NaN
2006 11 30 23 55 00 NaN NaN NaN
2006 12 01 23 55 00 NaN NaN NaN
2006 12 02 23 55 00 NaN NaN NaN
2006 12 03 23 55 00 NaN NaN NaN
2006 12 04 23 55 00 NaN NaN NaN
2006 12 05 23 55 00 NaN NaN NaN
2006 12 06 23 55 00 NaN NaN NaN
2006 12 07 23 55 00 NaN NaN NaN
2006 12 08 23 55 00 NaN NaN NaN
2006 12 09 23 55 00 NaN NaN NaN
2006 12 10 23 55 00 NaN NaN NaN
2006 12 11 23 55 00 NaN NaN NaN
2006 12 12 23 55 00 NaN NaN NaN
2006 12 13 23 55 00 NaN NaN NaN
2006 12 14 23 55 00 NaN NaN NaN
2006 12 15 23 55 00 NaN NaN NaN
2006 12 16 23 55 00 NaN NaN NaN
2006 12 17 23 55 00 NaN NaN NaN
2006 12 18 23 55 00 NaN NaN NaN
2006 12 19 23 55 00 NaN NaN NaN
2006 12 20 23 55 00 NaN NaN NaN
2006 12 21 23 55 00 NaN NaN NaN
2006 12 22 23 55 00 NaN NaN NaN
2006 12 23 23 55 00 NaN NaN NaN
2006 12 24 23 55 00 NaN NaN NaN
2006 12 25 23 55 00 NaN NaN NaN
2006 12 26 23 55 00 NaN NaN NaN
2006 12 27 23 55 00 NaN NaN NaN
2006 12 28 23 55 00 NaN NaN NaN
2006 12 29 23 55 00 NaN NaN NaN
2006 12 30 23 55 00 NaN NaN NaN
2006 12 31 23 55 00 NaN NaN NaN
2007 01 01 23 55 00 NaN NaN NaN
2007 01 02 23 55 00 NaN NaN NaN
2007 01 03 23 55 00 NaN NaN NaN
2007 01 04 23 55 00 NaN NaN NaN
2007 01 05 23 55 00 NaN NaN NaN
2007 01 06 23 55 00 NaN NaN NaN
2007 01 07 23 55 00 NaN NaN NaN
2007 01 08 23 55 00 NaN NaN NaN
2007 01 09 23 55 00 NaN NaN NaN
2007 01 10 23 55 00 NaN NaN NaN
2007 01 11 23 55 00 NaN NaN NaN
2007 01 12 23 55 00 NaN NaN NaN
2007 01 13 23 55 00 NaN NaN NaN
2007 01 14 23 55 00 NaN NaN NaN
2007 01 15 23 55 00 NaN NaN NaN
2007 01 16 23 55 00 NaN NaN NaN
2007 01 17 23 55 00 NaN NaN NaN
2007 01 18 23 55 00 NaN NaN NaN
2007 01 19 23 55 00 NaN NaN NaN
2007 01 20 23 55 00 NaN NaN NaN
2007 01 21 23 55 00 NaN NaN NaN
2007 01 22 23 55 00 NaN NaN NaN
2007 01 23 23 55 00 NaN NaN NaN
2007 01 24 23 55 00 NaN NaN NaN
2007 01 25 23 55 00 NaN NaN NaN
2007 01 26 23 55 00 NaN NaN NaN
2007 01 27 23 55 00 NaN NaN NaN
2007 01 28 23 55 00 NaN NaN NaN
2007 01 29 23 55 00 NaN NaN NaN
2007 01 30 23 55 00 NaN NaN NaN
2007 01 31 23 55 00 NaN NaN NaN
2007 02 01 23 55 00 NaN NaN NaN
2007 02 02 23 55 00 NaN NaN NaN
2007 02 03 23 55 00 NaN NaN NaN
2007 02 04 23 55 00 NaN NaN NaN
2007 02 05 23 55 00 NaN NaN NaN
2007 02 06 23 55 00 NaN NaN NaN
2007 02 07 23 55 00 NaN NaN NaN
2007 02 08 23 55 00 NaN NaN NaN
2007 02 09 23 55 00 NaN NaN NaN
2007 02 10 23 55 00 NaN NaN NaN
2007 02 11 23 55 00 NaN NaN NaN
2007 02 12 23 55 00 NaN NaN NaN
2007 02 13 23 55 00 NaN NaN NaN
2007 02 14 23 55 00 NaN NaN NaN
2007 02 15 23 55 00 NaN NaN NaN
