################################################################################
# WEBOBS OVPF
#
# PROC: {PROC.CGNSSOVPF} GNSS GAMIT/GLOBK OVPF
# TITLE: {\fontsize{14}{\bfVariation de distance}}: ref. BOMG
# FILENAME: BASELINES_BOMG_all.txt
#
#
# CREATED: 10-Jan-2024 13:34:35 by sysop@pitondescalumets
# COPYRIGHT: MMXXIV, (c) OVPF-IPGP
################################################################################
#
#yyyy mm dd HH MM SS BOMG-BORG_(cm) BOMG-DERG_(cm) BOMG-DSRG_(cm) BOMG-SNEG_(cm)
2013 12 14 11 59 00 88072.180211 107967.559373 112018.029799 90445.773880
2013 12 21 11 59 00 88072.141987 107967.516399 112017.983079 90445.779362
2013 12 22 11 59 00 88072.022022 107967.529666 112017.799617 90445.785115
2013 12 23 11 59 00 88072.054746 107967.734970 112017.844952 90445.907189
2013 12 24 11 59 00 88072.037395 107967.696656 112017.939103 90445.866116
2013 12 25 11 59 00 88072.149203 107967.570868 112017.967279 90445.739374
2013 12 26 11 59 00 88072.146676 107967.763423 112017.971917 90445.726661
2013 12 27 11 59 00 88072.143287 107967.609654 112017.946513 90445.697391
2013 12 28 11 59 00 88071.914191 107967.410886 112017.728293 90445.671246
2013 12 29 11 59 00 88072.169116 107967.394535 112017.878719 90445.456264
2013 12 30 11 59 00 88071.967576 107967.478051 112017.814353 90445.728575
2013 12 31 11 59 00 88072.035317 107967.487018 112017.734242 90445.707487
2014 01 02 11 59 00 88071.917485 107967.683988 112017.646589 90445.871462
2014 01 03 11 59 00 88072.065436 107967.398666 112017.833991 90445.393614
2014 01 04 11 59 00 88072.135930 107967.496742 112017.813894 90445.839528
2014 01 05 11 59 00 88071.961608 107967.507147 112017.764428 90445.791783
2014 01 06 11 59 00 88072.198709 107967.424613 112017.777243 90445.507327
2014 01 07 11 59 00 88072.084693 107967.502257 112017.803159 90445.711880
2014 01 08 11 59 00 88072.114427 107967.608923 112017.824202 90445.408460
2014 01 09 11 59 00 88071.974703 107967.498653 112017.691481 90445.539425
2014 01 10 11 59 00 88072.107898 107967.321600 112017.663716 90445.445084
2014 03 05 11 59 00 88071.934482 107967.160272 112017.344947 90445.588438
2014 03 06 11 59 00 88071.671436 107967.149676 112017.228898 90445.413604
2014 03 07 11 59 00 88072.011321 107966.755005 112017.222334 90445.118457
2014 03 08 11 59 00 88071.978874 107967.166029 112017.463893 90445.492874
2014 03 09 11 59 00 88071.727922 107966.921997 112017.155196 90445.358326
2014 03 10 11 59 00 88071.805966 107967.100384 112017.366448 90445.540876
2014 03 11 11 59 00 88072.041096 107967.202750 112017.447503 90445.650666
2014 03 12 11 59 00 88071.992760 107967.258454 112017.342957 90445.522584
2014 03 13 11 59 00 88071.888988 107967.105098 112017.426283 90445.569469
2014 03 14 11 59 00 88071.896209 107967.000855 112017.244784 90445.354409
2014 03 21 11 59 00 88072.224532 107967.007163 112017.210819 90445.285947
2014 03 22 11 59 00 88071.751392 107966.962061 112017.001726 90445.312288
2014 03 24 11 59 00 88071.836298 107967.267364 112017.310352 90445.596396
2014 03 25 11 59 00 88071.858869 107966.873218 112017.309728 90445.130324
2014 03 26 11 59 00 88071.850063 107966.982738 112017.283682 90445.415763
