date,timestamp,GPS_BOMG-BORG_(cm),GPS_BOMG-DERG_(cm),GPS_BOMG-DSRG_(cm),Earthquakes_per_day,Label
2010-02-07,1642546800,14.9683309999964,24.2145089999976,47.392027000009,6,
2010-02-08,1642546800,15.000549999997,24.4308149999997,47.619973000008,12,
2010-02-09,1642546800,14.784289999996,24.8118950000062,47.6722680000094,13,
2010-02-10,1642546800,14.9939319999976,24.8252990000037,47.5214740000083,11,
2010-02-11,1642546800,14.8494050000008,25.1856010000047,47.5266910000064,4,
2010-02-12,1642546800,14.9199200000003,25.4724120000028,47.9554029999999,4,
2010-02-13,1642546800,14.8740989999933,25.4335129999963,47.3649390000064,8,
2010-02-14,1642546800,15.0079560000013,25.3103730000003,47.4417580000008,7,
2010-02-15,1642546800,14.4739799999952,24.9969299999939,47.1789560000034,3,
2010-02-16,1642546800,14.5000819999987,25.2774060000083,47.2771270000085,3,
2010-02-17,1642546800,14.2806509999937,25.3797049999994,47.2727120000054,5,
2010-02-18,1642546800,14.3907780000009,25.5122339999944,47.3960730000108,3,
2010-02-19,1642546800,14.1773470000044,25.419710999995,47.2422210000077,3,
2010-02-20,1642546800,14.331091,24.9756820000039,46.9235120000085,4,
2010-02-21,1642546800,14.6514369999932,25.1325990000041,46.9647850000038,2,
2010-02-22,1642546800,14.5413750000007,25.0275660000043,47.3119390000065,2,
2010-02-23,1642546800,14.3639740000071,24.8085779999965,46.802382000009,3,
2010-02-24,1642546800,14.4490229999938,24.8934379999991,47.0366360000044,1,
2010-02-25,1642546800,14.1163689999958,24.6699490000028,46.6500990000059,6,
2010-02-26,1642546800,14.3550160000013,24.470994999996,46.6713510000118,3,
2010-02-27,1642546800,14.2766589999956,24.5733730000065,46.6358210000035,8,
2010-02-28,1642546800,14.1888860000035,24.5310330000066,46.6365320000041,7,
2010-03-01,1642546800,14.2344920000032,24.4287670000049,46.6010410000017,6,
2010-03-02,1642546800,14.4392630000075,24.4097230000043,46.5497880000039,1,
2010-03-03,1642546800,14.8434899999993,25.6943080000055,46.4478230000095,3,
